Turn;CardColor;CardType
18;RED;DRAW4
19;RED;REVERSE
19;ENDOFGAME;48
1;BLUE;EIGHT
1;GREEN;EIGHT
2;BLUE;SKIP
3;RED;DRAW4
4;YELLOW;NINE
5;BLUE;ONE
5;GREEN;ONE
5;GREEN;ONE
6;GREEN;SKIP
7;WILD;DRAW1
8;WILD;DRAW1
9;RED;DRAW4
10;WILD;DRAW1
11;RED;DRAW2
12;RED;FIVE
13;RED;TWO
14;WILD;DRAW1
15;WILD;DRAW1
16;YELLOW;FOUR
17;BLUE;FOUR
18;BLUE;THREE
18;ENDOFGAME;49
1;YELLOW;SKIP
2;BLUE;REVERSE
2;YELLOW;REVERSE
3;RED;FOUR
4;GREEN;TWO
5;BLUE;THREE
6;GREEN;ONE
6;ENDOFGAME;50
1;YELLOW;SKIP
2;BLUE;FOUR
2;YELLOW;FOUR
3;BLUE;SIX
3;RED;SIX
4;RED;SELECTCOLOR
5;WILD;DRAW1
6;YELLOW;SKIP
7;WILD;DRAW1
8;WILD;DRAW1
9;WILD;DRAW1
10;WILD;DRAW1
11;GREEN;REVERSE
12;GREEN;THREE
13;RED;ONE
14;WILD;DRAW1
15;BLUE;SEVEN
15;RED;SEVEN
16;RED;EIGHT
17;GREEN;DRAW2
18;WILD;DRAW1
19;YELLOW;NINE
20;WILD;DRAW1
21;WILD;DRAW1
22;WILD;DRAW1
23;BLUE;DRAW4
24;BLUE;ONE
25;BLUE;NINE
26;WILD;DRAW1
27;WILD;DRAW1
28;WILD;DRAW1
29;YELLOW;EIGHT
30;WILD;DRAW1
31;RED;DRAW2
32;WILD;DRAW1
33;WILD;DRAW1
34;YELLOW;THREE
35;WILD;DRAW1
36;GREEN;SEVEN
36;RED;SEVEN
